123456789
1234p6789
12345b789
p2345b789
p2b45b789
p2b45b78p
p2b4bb78p
p2b4bb7pp
12345bp89
1b345bp89
1b3p5bp89
1b3pbbp89
1b3pbbp8p
bb3pbbp8p
bbppbbp8p
123456b89
123p56b89
123pb6b89
1p3pb6b89
1p3pbbb89
1p3pbbb8p
1p3pbbbbp
1pppbbbbp
b23456789
bp3456789
bp3b56789
bp3b5678p
bp3bb678p
bp3bbp78p
bpbbbp78p
bpbbbpp8p
1234p6b89
1234p6bb9
1p34p6bb9
123p5b789
1b3p5b789
1bpp5b789
1bpp5b7b9
pbpp5b7b9
pbpp5b7bb
12345678b
1p345678b
1p34567bb
1pp4567bb
bpp4567bb
bppp567bb
123456bp9
123b56bp9
123bp6bp9
123bpbbp9
12pbpbbp9
12pbpbbpb
1234b6bp9
1234bpbp9
123bbpbp9
p23bbpbp9
p23bbpbpb
p2pbbpbpb
1234567b9
123p567b9
1b3p567b9
1b3p56pb9
1bbp56pb9
1bbp5ppb9
1bbp5ppbb
12345p7b9
12345pbb9
12p45pbb9
123456b8p
1b3456b8p
1bp456b8p
1bp456bbp
1bp4p6bbp
1bpbp6bbp
p23b5b789
p23b5b78p
pb3b5b78p
pb3b5bp8p
pb3b5bpbp
p2345b78b
p234pb78b
p234pb7bb
p234pbpbb
1b3ppb789
1b3ppb7b9
1bpppb7b9
bbpppb7b9
bbpppb7bp
12b456bp9
12bp56bp9
12bp56bpb
1pbp56bpb
12345b7p9
1234bb7p9
1234bbpp9
1b3456789
1b34p6789
1b34p67b9
1b3pp67b9
1bbpp67b9
12b456789
12b4p6789
b2b4p6789
b2bpp6789
1b3p56789
p2b456789
p2b4567b9
p2b4p67b9
p2b4p67bb
p2b4pp7bb
p2bbpp7bb
p2bbpppbb
12p45b789
1bp45b789
pbp45b789
pbp45bb89
pbp45bbp9
pbpb5bbp9
pbpbpbbp9
12345p78b
1b345p78b
1b345pp8b
bb345pp8b
bbp45pp8b
bbpb5pp8b
b234567p9
b234567pb
b23p567pb
bb3p567pb
bb3pp67pb
bb3ppb7pb
bbpppb7pb
12b4p6b89
1pb4p6b89
bpb4p6b89
bpb4p6b8p
1b3p5678b
1b3pp678b
1b3ppb78b
1b3ppbp8b
1234b6789
12p4b6789
12p4b67b9
12ppb67b9
12ppb67bb
12ppb6pbb
12ppbbpbb
pb345bp89
pb34bbp89
pbp4bbp89
b23p56789
bb3p56789
bb3p5p789
bb3p5p78b
bbpp5p78b
bbpp5p7bb
bbpp5ppbb
12b45p789
12b4bp789
p2b4bp789
p2b4bp7b9
ppb4bp7b9
p234567b9
p234567bb
p2p4567bb
1p345b789
1p345bb89
pp345bb89
pp34bbb89
pp3pbbb89
pp3pbbb8b
123pbb789
1p3pbb789
1pbpbb789
1pbpbb7p9
1234p67b9
123bp67b9
123bp6pb9
1b3bp6pb9
pb3bp6pb9
pbbbp6pb9
1pb456bp9
1bp456789
1bp45b7p9
1bp45bbp9
1bp4pbbp9
1bp4pbbpb
1bpppbbpb
12b4567p9
1bb4567p9
1bbp567p9
1bbp5b7p9
pbbp5b7p9
pbbpbb7p9
pbbpbb7pp
12bb5p789
12bb5p7p9
12bb5p7pb
12bb5pppb
12bbbpppb
p2bbbpppb
b234b67p9
b234b67pp
b234bb7pp
bp34bb7pp
bp34bbbpp
bp3pbbbpp
pb345b789
pb345bp8b
12bp56789
1bbp56789
1bbp5678p
1bbp567bp
1bbp56pbp
1bp4b6789
1bp4bp789
b23456bp9
b23456bpp
b234b6bpp
